x,y,shape
454,895,Filamentosa
1313,892,Ovalada/Elíptica
965,890,Filamentosa
692,890,Filamentosa
671,890,Esférica/Redonda
667,890,Filamentosa
493,890,Esférica/Redonda
1364,888,Ovalada/Elíptica
454,888,Esférica/Redonda
1364,885,Ovalada/Elíptica
718,881,Esférica/Redonda
332,881,Ovalada/Elíptica
712,879,Filamentosa
332,878,Ovalada/Elíptica
1053,875,Esférica/Redonda
1053,872,Ovalada/Elíptica
540,871,Filamentosa
1565,869,Esférica/Redonda
877,866,Filamentosa
1011,865,Filamentosa
815,858,Filamentosa
488,856,Esférica/Redonda
518,843,Esférica/Redonda
1071,842,Filamentosa
519,841,Esférica/Redonda
1016,836,Esférica/Redonda
379,826,Filamentosa
1210,812,Filamentosa
1212,811,Ovalada/Elíptica
647,811,Esférica/Redonda
152,810,Filamentosa
641,806,Filamentosa
152,805,Ovalada/Elíptica
1139,804,Filamentosa
706,804,Esférica/Redonda
342,803,Esférica/Redonda
337,803,Filamentosa
700,802,Filamentosa
1137,800,Ovalada/Elíptica
1444,798,Ovalada/Elíptica
494,792,Ovalada/Elíptica
318,791,Ovalada/Elíptica
318,789,Esférica/Redonda
495,788,Ovalada/Elíptica
1082,785,Esférica/Redonda
382,785,Ovalada/Elíptica
1086,784,Esférica/Redonda
1080,783,Esférica/Redonda
1073,781,Esférica/Redonda
1613,780,Filamentosa
1186,780,Filamentosa
1075,780,Esférica/Redonda
939,780,Esférica/Redonda
382,780,Filamentosa
304,780,Ovalada/Elíptica
1223,779,Esférica/Redonda
1217,778,Ovalada/Elíptica
1077,778,Ovalada/Elíptica
645,777,Filamentosa
1221,776,Esférica/Redonda
1217,776,Esférica/Redonda
305,776,Ovalada/Elíptica
218,776,Ovalada/Elíptica
1612,775,Ovalada/Elíptica
1019,775,Filamentosa
1071,774,Filamentosa
1219,773,Ovalada/Elíptica
824,773,Ovalada/Elíptica
1019,772,Ovalada/Elíptica
218,772,Filamentosa
825,771,Ovalada/Elíptica
1622,753,Filamentosa
1622,749,Ovalada/Elíptica
1226,747,Filamentosa
501,746,Esférica/Redonda
184,746,Ovalada/Elíptica
42,745,Ovalada/Elíptica
1227,744,Ovalada/Elíptica
115,744,Ovalada/Elíptica
1612,742,Filamentosa
502,742,Esférica/Redonda
499,742,Esférica/Redonda
185,742,Filamentosa
42,740,Ovalada/Elíptica
782,737,Filamentosa
848,735,Esférica/Redonda
249,726,Esférica/Redonda
1113,714,Ovalada/Elíptica
1617,711,Ovalada/Elíptica
1490,708,Ovalada/Elíptica
1615,706,Ovalada/Elíptica
863,700,Filamentosa
181,696,Ovalada/Elíptica
1100,694,Esférica/Redonda
1584,686,Ovalada/Elíptica
183,686,Esférica/Redonda
122,686,Esférica/Redonda
751,683,Filamentosa
1583,682,Ovalada/Elíptica
1202,682,Esférica/Redonda
183,682,Ovalada/Elíptica
122,681,Esférica/Redonda
1614,675,Ovalada/Elíptica
403,672,Filamentosa
109,671,Ovalada/Elíptica
1527,669,Filamentosa
106,669,Esférica/Redonda
1181,668,Esférica/Redonda
406,666,Ovalada/Elíptica
108,664,Filamentosa
1329,652,Ovalada/Elíptica
1333,650,Esférica/Redonda
90,650,Ovalada/Elíptica
1327,648,Ovalada/Elíptica
1131,641,Ovalada/Elíptica
1289,640,Ovalada/Elíptica
322,639,Filamentosa
86,638,Filamentosa
323,636,Ovalada/Elíptica
1400,634,Ovalada/Elíptica
284,631,Ovalada/Elíptica
284,627,Ovalada/Elíptica
189,626,Ovalada/Elíptica
1493,625,Ovalada/Elíptica
616,623,Esférica/Redonda
925,621,Esférica/Redonda
1491,620,Ovalada/Elíptica
925,619,Esférica/Redonda
615,619,Filamentosa
920,618,Filamentosa
661,618,Ovalada/Elíptica
618,618,Ovalada/Elíptica
1630,616,Ovalada/Elíptica
884,616,Esférica/Redonda
880,616,Esférica/Redonda
876,615,Esférica/Redonda
661,615,Esférica/Redonda
335,615,Ovalada/Elíptica
877,613,Esférica/Redonda
1627,611,Ovalada/Elíptica
344,610,Esférica/Redonda
838,607,Esférica/Redonda
343,607,Ovalada/Elíptica
74,606,Ovalada/Elíptica
467,605,Esférica/Redonda
1000,603,Esférica/Redonda
73,601,Ovalada/Elíptica
130,595,Esférica/Redonda
1522,592,Filamentosa
117,592,Filamentosa
1556,591,Ovalada/Elíptica
1556,587,Esférica/Redonda
1314,584,Ovalada/Elíptica
1198,577,Esférica/Redonda
